F,a
[0.],[0.]
[0.],[0.]
[43.3420162],[2.03308481]
[-170.69567608],[-7.93800444]
[41.15067965],[1.97658375]
[0.],[0.]
[20.79154386],[0.98842562]
[-20.23739135],[-0.94695953]
[176.56720159],[8.24627823]
[-123.90228303],[-5.99699593]
[42.48543531],[2.03369591]
[-82.05362456],[-3.96307999]
[-20.57610539],[-0.99562594]
[-86.93481872],[-4.07446809]
[0.],[0.]
[-221.87505613],[-10.1348187]
[-99.50889184],[-4.96988661]
[-85.83051472],[-4.07546154]
[85.06928643],[4.02081911]
[-22.68109319],[-1.03398482]
[-216.11077846],[-10.06645049]
[-193.96822207],[-9.05825396]
[123.68167979],[5.93134085]
[-83.12365441],[-3.85741325]
[-84.72451865],[-4.03075232]
[-188.18852517],[-8.79714951]
[188.69288613],[8.9782227]
[-19.69268614],[-0.94988946]
[-20.98395003],[-0.96192602]
[60.69481821],[2.9029365]
[84.31513229],[4.02324431]
[191.60662834],[8.90651328]
[126.96739791],[6.09482543]
[131.16283387],[6.17386015]
[-143.91755795],[-7.01064475]
[20.72713805],[1.00670654]
[-192.49133287],[-9.1681329]
[191.32727651],[9.26818733]
[-127.67423593],[-6.11734419]
[164.503546],[7.79210504]
[-106.89667517],[-5.03299576]
[124.92534799],[5.83408371]
[166.28130547],[7.85846423]
[-21.53556256],[-1.01185601]
[0.],[0.]
[167.91801755],[8.24005737]
[-83.64940912],[-4.07099675]
[-168.34557459],[-8.03935265]
[-207.12042062],[-10.22452572]
[-42.54044078],[-1.98096197]
[148.25689257],[7.18225582]
[-63.91487959],[-2.92774867]
[120.88769969],[5.811599]
[-41.63233216],[-1.95489364]
[163.82512016],[8.04249164]
[-144.50825375],[-6.8508242]
[124.83905095],[6.05577619]
[-84.4911936],[-3.89953439]
[144.13874028],[6.84350353]
[-21.33412276],[-1.01293373]
[-65.46043425],[-3.06687224]
[42.65398919],[2.02970263]
[-205.32535959],[-9.89412285]
[128.18913423],[6.05359626]
[-164.0174857],[-8.06151315]
[42.67340927],[2.00335208]
[122.61301745],[5.84588953]
[172.12479976],[7.86864196]
[146.91155623],[7.13084383]
[-162.66825556],[-8.09485229]
[-79.35424359],[-3.80239687]
[-62.59710426],[-2.99453116]
[-126.79239164],[-6.08746709]
[186.96172607],[8.92314517]
[-195.35089722],[-9.37861749]
[-119.6730502],[-5.70592049]
[85.21202802],[4.04012282]
[-107.68307558],[-5.17705081]
[20.41115106],[0.98241713]
[41.69700631],[1.95507554]
[-63.7136853],[-2.98257125]
[83.48701005],[4.05749894]
[-130.24086761],[-6.13357409]
[0.],[0.]
[-61.12864761],[-2.98286019]
[102.96569746],[4.89555837]
[42.82715781],[2.05219687]
[-60.84821047],[-2.87805033]
[150.93231057],[7.08292878]
[20.83771256],[0.98739962]
[-185.42118972],[-8.99782944]
[-201.31542891],[-9.85769731]
[-40.47298661],[-1.9497837]
[-102.62329074],[-4.96741382]
[-83.3297754],[-4.02124907]
[20.5737111],[1.01484336]
[-217.04927668],[-10.424346]
[20.35575957],[0.99728302]
[-64.680146],[-3.05462847]
[-170.6586243],[-8.0615841]
